id,RA_C,DEC_C,RA_M,DEC_M,DIF,MAG_R,MAG_V,MAG_B,MAG_err,CMAG_R,CMAG_V,CMAG_B,DATETIME,IMGNAME
643-094187,306.00541120000003,38.5137687,306.00547842297482,38.513763696898565,0.19,---,---,9.7275294031965416,0.00076006241158900728,---,---,9.7899999618530273,2018-06-25 02:20:18.097000,M 29_Light_B_20180625_00000207.fits
642-092649,305.8279359,38.388335599999998,305.82805983517358,38.388051408968003,1.081,---,---,11.204538813596161,0.0014754317446404981,---,---,11.159999847412109,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094286,306.15079300000002,38.443072800000003,306.15092051375103,38.443026923016809,0.39600000000000002,---,---,12.307246273651661,0.0024516621107339891,---,---,12.265999794006348,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094162,305.97926330000001,38.466352000000001,305.9793162509244,38.466320843974565,0.187,---,---,10.12211755524832,0.0008962617691822836,---,---,10.163000106811523,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094068,305.89056649999998,38.458473400000003,305.89052282490923,38.458371165889346,0.38800000000000001,---,---,12.615781871713521,0.0028259712217791996,---,---,12.605999946594238,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
nan,nan,nan,306.18104024225221,38.478442687278893,nan,---,---,13.675638776039289,0.0046040402929857826,---,---,nan,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
nan,nan,nan,306.18143420739307,38.477578690999039,nan,---,---,13.698987815488499,0.0046538129488416877,---,---,nan,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094261,306.10511059999999,38.485246400000001,306.10509099819905,38.485247825475305,0.055,---,---,10.411200465539887,0.0010238856438004359,---,---,10.309000015258789,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094105,305.92853769999999,38.475976199999998,305.92862223516363,38.47589555780057,0.376,---,---,11.958637201948219,0.0020880399369432165,---,---,12.53600025177002,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094163,305.97948680000002,38.485575900000001,305.97955512432088,38.485530076794049,0.254,---,---,12.317891073917082,0.0024637099379777451,---,---,12.270999908447266,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094203,306.02728089999999,38.492551200000001,306.02730530809885,38.492597417647545,0.17999999999999999,---,---,9.8032109733464203,0.00077384424160545557,---,---,9.8920001983642578,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094143,305.96252529999998,38.492860899999997,305.96254402276526,38.492749260397524,0.40500000000000003,---,---,9.0446798699217048,0.00054569168285702315,---,---,9.369999885559082,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094180,305.9956353,38.560020000000002,305.99568076632909,38.560077393426091,0.24299999999999999,---,---,10.952710943792068,0.0013138734880306785,---,---,10.866999626159668,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094185,305.99860740000003,38.502648100000002,305.9986113221056,38.502700984584251,0.191,---,---,12.37231563548637,0.0025262393035312986,---,---,12.293999671936035,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094279,306.13654450000001,38.510809799999997,306.1364675766369,38.510856021447964,0.27300000000000002,---,---,10.822702192005371,0.0012375187818834635,---,---,10.772000312805176,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094116,305.94150710000002,38.500873900000002,305.94162238014229,38.500806367954034,0.40600000000000003,---,---,10.114124287945263,0.00089296866241869971,---,---,10.149999618530273,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094197,306.01940889999997,38.5381334,306.01941350215043,38.538170079090676,0.13300000000000001,---,---,9.7446744404895362,0.00075326232892176091,---,---,9.8629999160766602,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094015,305.84486529999998,38.551489799999999,305.84476382353455,38.551376609338007,0.498,---,---,11.882868525096216,0.0020164388933689254,---,---,11.96399974822998,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094184,305.99809269999997,38.530006200000003,305.99805735236595,38.530002010612982,0.10100000000000001,---,---,10.986000061035156,0.0013341706200666701,---,---,10.986000061035156,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
643-094187,306.00541120000003,38.5137687,306.00532803957464,38.513742168173948,0.253,---,---,9.7384037321669972,0.00075109021992990192,---,---,9.7899999618530273,2018-06-25 02:21:39.604000,M 29_Light_B_20180625_00000210.fits
642-092848,306.1662642,38.362914500000002,306.16613240278821,38.362742537395967,0.72199999999999998,---,---,13.219030516001716,0.0035902617923845364,---,---,12.796999931335449,2018-06-25 02:47:32.240000,M 29_Light_B_20180625_00000267.fits
642-092649,305.8279359,38.388335599999998,305.82803390175638,38.388072790239718,0.98599999999999999,---,---,11.159999847412109,0.0013909771110990714,---,---,11.159999847412109,2018-06-25 02:47:32.240000,M 29_Light_B_20180625_00000267.fits
643-094286,306.15079300000002,38.443072800000003,306.15089443287468,38.443077849376159,0.28699999999999998,---,---,12.288250198221721,0.0023386759726958402,---,---,12.265999794006348,2018-06-25 02:47:32.240000,M 29_Light_B_20180625_00000267.fits
